celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_ADULT_CA_ENTEROENDOCRINE_CELLS,223,2,0.0443038154721079,0.376087416814905
CD4+ naive T-cells_NOVERSHTERN_1 | Human | xCell,xCell,Human,,CD4+ naive T-cells_NOVERSHTERN_1,30,1,0.0444598884714309,0.376361005751194
Bergmann glia | Brain | Human | PanglaoDB,PanglaoDB,Human,Brain,Bergmann glia,32,1,0.047355653667417,0.393207189877815
Bergmann glia | Brain | Mouse | PanglaoDB,PanglaoDB,Mouse,Brain,Bergmann glia,32,1,0.047355653667417,0.393207189877815
CD8+ Tem_HPCA_3 | Human | xCell,xCell,Human,,CD8+ Tem_HPCA_3,31,1,0.047355653667417,0.393207189877815
GAO_LARGE_INTESTINE_ADULT_CG_GOBLET_CELL_SUBTYPE_2 | Human | MSigDB,MSigDB,Human,,GAO_LARGE_INTESTINE_ADULT_CG_GOBLET_CELL_SUBTYPE_2,32,1,0.047355653667417,0.393207189877815
Megakaryocytes | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,Megakaryocytes,32,1,0.047355653667417,0.393207189877815
Megakaryocytes | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,Megakaryocytes,32,1,0.047355653667417,0.393207189877815
MURARO_PANCREAS_EPSILON_CELL | Human | MSigDB,MSigDB,Human,,MURARO_PANCREAS_EPSILON_CELL,31,1,0.047355653667417,0.393207189877815
FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2 | Human | MSigDB,MSigDB,Human,,FAN_EMBRYONIC_CTX_BRAIN_ENDOTHELIAL_2,235,2,0.0486788789200807,0.403092951057562
