celltype_full,db,species,organ,celltype,n_genes,overlap,p_value,fdr
Chronic lymphocytic leukemia cell | Human | TISSUES,TISSUES,Human,,Chronic lymphocytic leukemia cell,1678,5,0.0414427073246367,0.33947274274817
Lymphocytic leukemia cell | Human | TISSUES,TISSUES,Human,,Lymphocytic leukemia cell,1678,5,0.0414427073246367,0.33947274274817
T-cell chronic lymphocytic leukemia cell | Human | TISSUES,TISSUES,Human,,T-cell chronic lymphocytic leukemia cell,1678,5,0.0414427073246367,0.33947274274817
GMP_BLUEPRINT_3 | Human | xCell,xCell,Human,,GMP_BLUEPRINT_3,35,1,0.0418123931046764,0.339753643436128
Lung fibroblast | Human | TISSUES,TISSUES,Human,,Lung fibroblast,36,1,0.0418123931046764,0.339753643436128
Osteoclasts | Bone | Mouse | PanglaoDB,PanglaoDB,Mouse,Bone,Osteoclasts,36,1,0.0418123931046764,0.339753643436128
Basal cells | Epithelium | Human | PanglaoDB,PanglaoDB,Human,Epithelium,Basal cells,37,1,0.042949932804196,0.346761124233066
Basal cells | Epithelium | Mouse | PanglaoDB,PanglaoDB,Mouse,Epithelium,Basal cells,37,1,0.042949932804196,0.346761124233066
HAY_BONE_MARROW_EOSINOPHIL | Human | MSigDB,MSigDB,Human,,HAY_BONE_MARROW_EOSINOPHIL,38,1,0.0440861969826488,0.346761124233066
Osteoclasts | Bone | Human | PanglaoDB,PanglaoDB,Human,Bone,Osteoclasts,38,1,0.0440861969826488,0.346761124233066
Osteosarcoma cell | Human | TISSUES,TISSUES,Human,,Osteosarcoma cell,36,1,0.0440861969826488,0.346761124233066
Regulatory T (Treg) cell | Peripheral blood | Human | CellMarker,CellMarker,Human,Peripheral blood,Regulatory T (Treg) cell,38,1,0.0440861969826488,0.346761124233066
Mural cell | Brain | Mouse | CellMarker,CellMarker,Mouse,Brain,Mural cell,37,1,0.0452211869862318,0.346761124233066
Alpha cells | Pancreas | Mouse | PanglaoDB,PanglaoDB,Mouse,Pancreas,Alpha cells,40,1,0.0463549041598079,0.346761124233066
CUI_DEVELOPING_HEART_ENDOCARDIAL_CELL | Human | MSigDB,MSigDB,Human,,CUI_DEVELOPING_HEART_ENDOCARDIAL_CELL,40,1,0.0463549041598079,0.346761124233066
Macrophage (Glioma) | Brain | Human | CellMarker,CellMarker,Human,Brain,Macrophage (Glioma),39,1,0.0463549041598079,0.346761124233066
Trunk | Human | TISSUES,TISSUES,Human,,Trunk,686,3,0.0468871387995503,0.346761124233066
Alpha cells | Pancreas | Human | PanglaoDB,PanglaoDB,Human,Pancreas,Alpha cells,41,1,0.0474873498469121,0.346761124233066
Macrophages M1_FANTOM_1 | Human | xCell,xCell,Human,,Macrophages M1_FANTOM_1,41,1,0.0474873498469121,0.346761124233066
T helper cells | Immune system | Human | PanglaoDB,PanglaoDB,Human,Immune system,T helper cells,41,1,0.0474873498469121,0.346761124233066
T helper cells | Immune system | Mouse | PanglaoDB,PanglaoDB,Mouse,Immune system,T helper cells,41,1,0.0474873498469121,0.346761124233066
Macrophage | Brain | Human | CellMarker,CellMarker,Human,Brain,Macrophage,41,1,0.0486185253897479,0.346761124233066
Neural stem cell | Human | CellMarker,CellMarker,Human,,Neural stem cell,43,1,0.0497484321291893,0.346761124233066
